;Сибирский федеральный округ;Алтайский край;;Судебный участок Немецкого национального района ;Судебным участком Немецкого национального района ;Судебного участка Немецкого национального района ;658870, Алтайский край, Немецкий район, с. Гальбштадт, ул. Клубная, д. 6;8 (38539) 2-26-62;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Алейского района ;Судебным участком Алейского района ;Судебного участка Алейского района ;658130, Алтайский край, г. Алейск, ул. Сердюка, д. 154;8 (38553) 20-3-28;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Баевского района ;Судебным участком Баевского района ;Судебного участка Баевского района ;658510, Алтайский край, с. Баево, ул. Ленина, д. 41;8 (38585) 2-13-26;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Бурлинского района ;Судебным участком Бурлинского района ;Судебного участка Бурлинского района ;658810, Алтайский край, Бурлинский район, с. Бурла, ул. Ленина, д.9;8 (38572) 2-28-36;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Быстроистокского района ;Судебным участком Быстроистокского района ;Судебного участка Быстроистокского района ;659560, Алтайский край, Быстроистокский район, с. Быстрый Исток, ул. Ленина, д. 48;8 (38571) 2-25-29;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Волчихинского района Алтайского края;Судебным участком Волчихинского района Алтайского края;Судебного участка Волчихинского района Алтайского края;658931, Алтайский край, Волчихинский район, с. Волчиха, ул. 1 Мая, д. 80;8 (38565) 2-21-91;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Ельцовского района ;Судебным участком Ельцовского района ;Судебного участка Ельцовского района ;659470, Алтайский край, Ельцовский район, с. Ельцовка, ул. Шацкого, д. 17;8 (38593) 2-29-85;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Завьяловского района ;Судебным участком Завьяловского района ;Судебного участка Завьяловского района ;658620, Алтайский край, Завьяловский район, с. Завьялово, ул. Коммунаров, д. 37;8 (38562) 2-22-82;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Залесовского района ;Судебным участком Залесовского района ;Судебного участка Залесовского района ;659220, Алтайский край, Залесовский район, с. Залесово, ул. Партизанская, д. 24а;8 (38592) 2-12-75;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Заринского района ;Судебным участком Заринского района ;Судебного участка Заринского района ;659106, Алтайский край, г. Заринск, ул. Комсомольская, д. 15;8 (38595) 22-2-63;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Змеиногорского района ;Судебным участком Змеиногорского района ;Судебного участка Змеиногорского района ;658481, Алтайский край, г. Змеиногорск, ул. Ленина, д. 41;8 (38587) 2-18-13;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Зонального района ;Судебным участком Зонального района ;Судебного участка Зонального района ;659400, Алтайский край, Зональный район, с. Зональное, ул. Ленина, д. 9;8 (38530) 22-6-30;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Калманского района ;Судебным участком Калманского района ;Судебного участка Калманского района ;659040, Алтайский край, Калманский район, с. Калманка, ул. Ленина, д. 19;8 (38551) 2-26-94;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Ключевского района ;Судебным участком Ключевского района ;Судебного участка Ключевского района ;658980, Алтайский край, Ключевский район, с. Ключи, ул. Делегатская, д. 1;8 (38578) 3-16-97;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Косихинского района ;Судебным участком Косихинского района ;Судебного участка Косихинского района ;659820, Алтайский край, Косихинский район, с. Косиха, ул. Комсомольская, д. 1 А.;8 (38531) 2-24-25;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Красногорского района ;Судебным участком Красногорского района ;Судебного участка Красногорского района ;659500, Алтайский край, Красногорский район, с. Красногорское, ул. Советская, д. 85;8 (38535) 2-26-66;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Краснощековского района ;Судебным участком Краснощековского района ;Судебного участка Краснощековского района ;658340, Алтайский край, Краснощековский район, с. Краснощеково, ул. Садовая, д. 24.;8 (38575) 2-27-99;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Крутихинского района ;Судебным участком Крутихинского района ;Судебного участка Крутихинского района ;658750, Алтайский край, Крутихинский район, с. Крутиха, ул. Ленинградская, д. 35;8 (38589) 2-27-56;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Курьинского района ;Судебным участком Курьинского района ;Судебного участка Курьинского района ;658320, Алтайский край, Курьинский район, с. Курья, ул. Центральная, д. 86;8 (38576) 2-22-96;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Кытмановского района ;Судебным участком Кытмановского района ;Судебного участка Кытмановского района ;659240, Алтайский край, Кытмановский район, с. Кытманово, пер. Садовый, д. 8;8 (38590) 2-22-60;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Мамонтовского района ;Судебным участком Мамонтовского района ;Судебного участка Мамонтовского района ;658560, Алтайский край, с. Мамонтово, ул. Партизанская, д. 125;8 (38583) 22-0-88;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Новичихинского района ;Судебным участком Новичихинского района ;Судебного участка Новичихинского района ;659730, Алтайский край, Новичихинский район, с. Новичиха, ул. Ленинская, д. 22;8 (38555) 23-5-07;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Новичихинского района ;Судебным участком Новичихинского района ;Судебного участка Новичихинского района ;659730, Алтайский край, Новичихинский район, с. Новичиха, ул. Ленинская, д. 22;8 (38555) 23-5-07;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Панкрушихинского района ;Судебным участком Панкрушихинского района ;Судебного участка Панкрушихинского района ;658760, Алтайский край, Панкрушихинский район, с. Панкрушиха, ул. Ленина, д. 19;8 (38580) 2-24-92;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Петропавловского района ;Судебным участком Петропавловского района ;Судебного участка Петропавловского района ;"659660, Алтайский край, Петропавловский район, с. Петропавловское, ул. Ленина, д. 81 ""а""";8 (38573) 2-29-97;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Ребрихинского района ;Судебным участком Ребрихинского района ;Судебного участка Ребрихинского района ;658540, Алтайский край, Ребрихинский район, с. Ребриха, пр. Победы, д. 43;8 (38582) 2-19-83;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Родинского района ;Судебным участком Родинского района ;Судебного участка Родинского района ;659780, Алтайский край, Родинский район, с. Родино, ул. Шевченко, д. 5;8 (38563) 2-18-92;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Романовского района ;Судебным участком Романовского района ;Судебного участка Романовского района ;658640, Алтайский край, Романовский район, с. Романово, ул. Советская, д. 71;8 (38561) 21-4-49;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Рубцовского района ;Судебным участком Рубцовского района ;Судебного участка Рубцовского района ;658201, Алтайский край, г. Рубцовск, ул. Октябрьская, д. 159;8 38557) 2-92-24;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Смоленского района ;Судебным участком Смоленского района ;Судебного участка Смоленского района ;659600, Алтайский край, Смоленский район, с. Смоленское, ул. Советская, д. 107а;8 (38536) 2-20-43;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Советского района ;Судебным участком Советского района ;Судебного участка Советского района ;659540, Алтайский край, Советский район, с. Советское, ул. Кирова, д. 96;8 (38598) 2-15-42;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Солтонского района ;Судебным участком Солтонского района ;Судебного участка Солтонского района ;659520, Алтайский край, Солтонский район, с. Солтон, ул. Ленина, д. 32;8 (38533) 2-12-01;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Суетского района ;Судебным участком Суетского района ;Судебного участка Суетского района ;658690, Алтайский край, Суетский район, с. Верх-Суетка, ул. Ленина, д. 99;8 (38538) 2-23-92;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Табунского района ;Судебным участком Табунского района ;Судебного участка Табунского района ;658860, Алтайский край, Табунский район, с. Табуны, пер. Центральный, д. 6;8 (38567) 2-29-04;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Тогульского района ;Судебным участком Тогульского района ;Судебного участка Тогульского района ;659450, Алтайский край, Тогульский район, с. Тогул, ул. Пролетарская, д. 21;8 (38597) 2-23-60;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Топчихинского района ;Судебным участком Топчихинского района ;Судебного участка Топчихинского района ;659070, Алтайский край, с. Топчиха, ул. Куйбышева, д. 35;8 (38552) 2-24-97;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Третьяковского района ;Судебным участком Третьяковского района ;Судебного участка Третьяковского района ;658450, Алтайский край, Третьяковский район, с. Староалейское, ул. Калашникова, д. 40 А;8 (38559) 2-19-14;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Тюменцевского района ;Судебным участком Тюменцевского района ;Судебного участка Тюменцевского района ;658580, Алтайский край, Тюменцевский район, с. Тюменцево, ул. Ленина, д. 7а;8 (38588) 2-14-92;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Угловского района ;Судебным участком Угловского района ;Судебного участка Угловского района ;658270, Алтайский край, Угловский район, с. Угловское, ул. Чапаева, д. 149;8 (38579) 2-23-23;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Хабарского района ;Судебным участком Хабарского района ;Судебного участка Хабарского района ;658780, Алтайский край, Хабарский район, с. Хабары, ул. Ленина, д. 67;8 (38569) 2-28-96;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Целинного района ;Судебным участком Целинного района ;Судебного участка Целинного района ;659430, Алтайский край, Целинный район, с. Целинное, ул. Победы, д. 25;8 (38596) 2-33-13;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Чарышского района ;Судебным участком Чарышского района ;Судебного участка Чарышского района ;658170, Алтайский край, Чарышский район, с. Чарышское, ул. Центральная, д. 26/1;8 (38574) 2-21-59;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок Шелаболихинского района ;Судебным участком Шелаболихинского района ;Судебного участка Шелаболихинского района ;659050, Алтайский край, Шелаболихинский район, с. Шелаболиха, ул. 50 лет Алтая, д. 6;8 (38558) 2-34-67;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок № 1 Индустриального района г. Барнаула ;Судебным участком № 1 Индустриального района г. Барнаула ;Судебного участка № 1 Индустриального района г. Барнаула ;656062, г. Барнаул, ул. Попова, д. 68;8 (3852) 54-84-91;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок № 1 Ленинского района г. Барнаула ;Судебным участком № 1 Ленинского района г. Барнаула ;Судебного участка № 1 Ленинского района г. Барнаула ;656062, Алтайский край, г. Барнаул, ул. Попова, д. 68;8 (3852) 54-84-71;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок № 1 Благовещенского района ;Судебным участком № 1 Благовещенского района ;Судебного участка № 1 Благовещенского района ;658670, Алтайский край, Благовещенский район, р. п. Благовещенка, пер. Кучеровых, д. 79;8 (38564) 2-21-17;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок № 1 Каменского района ;Судебным участком № 1 Каменского района ;Судебного участка № 1 Каменского района ;658710, Алтайский край, г. Камень-на-Оби, ул. Громова, д. 49;8 (38584) 2-29-98;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок № 1 Кулундинского района ;Судебным участком № 1 Кулундинского района ;Судебного участка № 1 Кулундинского района ;658900, Алтайский край, Кулундинский район, с. Кулунда, ул. Советская, д. 32;8 (38566) 2-29-64;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок № 1 Локтевского района ;Судебным участком № 1 Локтевского района ;Судебного участка № 1 Локтевского района ;658422, Алтайский край, Локтевский район, г. Горняк, ул. Маяковского, 132а;8 (38586) 3-13-58;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок № 1 Михайловского района ;Судебным участком № 1 Михайловского района ;Судебного участка № 1 Михайловского района ;658960, Алтайский край, Михайловский район, с. Михайловское, ул. Садовая, д. 40;8 (38570) 2-15-76;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок № 1 Павловского района ;Судебным участком № 1 Павловского района ;Судебного участка № 1 Павловского района ;659000, Алтайский край, Павловский район, с. Павловск, ул. Ленина, д. 32а;8 (38581) 2-15-83;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок № 1 Первомайского района ;Судебным участком № 1 Первомайского района ;Судебного участка № 1 Первомайского района ;658080, Алтайский край, г. Новоалтайск, ул. Хлебозаводская, д. 12;8 (38532) 4-24-38;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок № 1 Поспелихинского района ;Судебным участком № 1 Поспелихинского района ;Судебного участка № 1 Поспелихинского района ;659700, Алтайский край, Поспелихинский район, с. Поспелиха, ул. Советская, д. 89;8 (38556) 21-2-22;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок № 1 Тальменского района ;Судебным участком № 1 Тальменского района ;Судебного участка № 1 Тальменского района ;658030, Алтайский край, Тальменский район, с. Тальменка, ул. Партизанская, д. 78;8 (38591) 2-16-58;;;;
;Сибирский федеральный округ;Алтайский край;;Судебный участок № 1 Троицкого района ;Судебным участком № 1 Троицкого района ;Судебного участка № 1 Троицкого района ;659840, Алтайский край, Троицкий район, с. Троицкое, ул. Ленина, д. 9;8 (38534) 2-10-34;;;;
